ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
222,codewhisperer,Medium,https://cmani.medium.com/look-ma-no-database-connection-pools-67efb87e108,"look ma, no database connection pools ;-)",,"TL;DR — IMHO, Using the Data API (Beta) for the Amazon Aurora Serverless database with serverless apps running on top of AWS Fargate or AWS Lambda can create truly serverless apps end to end — and yes, without using database connection pools and executing SQL queries via HTTP !! and yes, conditions apply — read the fine print ;-)",88,False,"Jan 14, 2019",88,Positive
223,chatgpt AND code,Medium,https://tateg.medium.com/intro-to-chatgpt-with-python-the-basics-3fc5e4250bc1,Intro To ChatGPT With Python: The Basics,,By now we’ve all heard about the infamous ChatGPT application built by OpenAI. This is no ordinary chatbot. This is one of the most sophisticated artificial intelligence platforms out there. The best part is you can use it for free.,88,True,,88,Positive
224,chatgpt AND code,Medium,https://medium.com/@christian.freischlag/advent-of-code-coding-session-with-chatgpt-261118b50117,Advent of Code — Coding session with ChatGPT,Why ChatGPT changes the game but does not make coders obsolete,"As a Copilot user, I really like the productivity gains from AI-assisted programming. While Copilot works well for simple code and helps reduce stack overflow searches, ChatGPT is on a much higher level. I’ve been trying to solve the advent-of-code challenges with ChatGPT, and I’m impressed. While I still don’t fear AI will replace all programmers, it will likely impact our work and perhaps further reduce the number of software engineers needed. It will undoubtedly encourage low/no code applications. However, the problem with AI-generated content is that you can’t trust it to be correct. And I will show you how ChatGPT is sometimes convinced of its wrong solutions while still being able to solve 7 out of 8, some with the help needed. Code here!",88,True,,88,Positive
225,chatgpt AND code,Medium,https://aruva.medium.com/pro-gpt-practical-guide-for-programmers-using-chatgpt-part-2-29307208b646,PRO-GPT | Practical Guide for Programmers using ChatGPT | Part-2,,This is part 2 of 3,88,True,,88,Positive
226,ai code assistants,Medium,https://denyslinkov.medium.com/how-to-build-a-generative-ai-app-with-no-code-in-three-easy-steps-44cb3b3611c2,How to build a Generative AI app with no code in three easy steps,"Chat GPT and now GPT-4 have taken the world by storm, but how can you leverage them without having to code?","When opening up Chat GPT for the first time, you could feel the magic of a powerful ML model. After some time experimenting, it becomes clear you could build something powerful, but how? Many tutorials involve knowing how to code, which can be intimidating. Today we’ll cover how to build a no code ChatGPT app in 10 minutes. In this guide we’ll be building a pizza ordering app, but you can follow along with any creative app ideas you have.",87,False,,87,Positive
227,ai code assistants,Medium,https://rakiabensassi.medium.com/23-ai-buzzwords-you-should-know-in-2023-5984bb429445?source=user_profile---------5----------------------------,23 AI Buzzwords You Should Know in 2023,Deciphering AI’s secret language: A deep-dive into 23 key concepts revolutionizing the tech landscape,"As dawn breaks on a new era, where artificial intelligence has nudged its way into nearly every nook and cranny of our society, the job landscape is undeniably shifting under its influence.",86,True,,86,Positive
228,chatgpt AND code,Medium,https://alexkhomenko.medium.com/productivity-benefits-of-integrating-chatgpt-into-the-front-end-development-process-6d492bae3a20?source=rss------ai-5,Productivity Benefits of Integrating ChatGPT into the Front-End Development Process,,The updated version is available at claritydev.com.,86,True,,86,Positive
229,copilot,Medium,https://abinator-1308.medium.com/getting-started-with-github-copilot-c97b1b227863?source=read_next_recirc---------0---------------------d76e5a6c_e1dd_4421_bc80_11340473f663----------,An Introduction to GitHub Copilot for Beginners,A guide for using GitHub Copilot to write code faster.,"According to GitHub, “GitHub Copilot is an AI pair programmer that helps you write code faster and with less work. GitHub Copilot draws context from comments and code, and suggests individual lines and whole functions instantly.”",86,False,,86,Positive
230,copilot,Medium,https://medium.com/gitconnected/flying-with-github-copilot-cab566ee5d9,Flying with GitHub Copilot,,Today I installed GitHub Copilot in VSCode and decided to see what it could do with Typescript with only natural language prompts for full functions. Have a look at the results. I’m impressed!,85,False,"Jun 28, 2022",85,Positive
231,chatgpt AND code,Medium,https://douglas-life.medium.com/ai-python-code-for-web-development-100-prompts-for-chatgpt-d40496eba815?source=author_recirc-----1b9fa7e56f4----2---------------------651e87d9_999a_4c1d_97ef_31a8cd8cb674-------,AI Python Code for WEB DEVELOPMENT 🦾 100+ Prompts for ChatGPT,🧑‍💻 ChatGPT using GPT4 🔌 Free 💎 Explore the power of Python in GPT4 faster with these prompts.,"I crafted this pack of Python prompts to help you explore the capabilities of ChatGPT more effectively. I am introducing Lil Cogo, a lite version of the “Code God” AI personality I’ve developed for our Prompt Engineering resource bundle. Lil Cogo will aid you in navigating the world of ChatGPT programming, ensuring a smooth and rewarding experience between sessions.",85,True,,85,Positive
232,chatgpt AND code,Medium,https://medium.com/@KanikaB/chat-gpts-code-interpreter-plugin-here-is-everything-you-need-to-know-leverage-the-tool-31d154836ed0,"Chat GPT’s CODE INTERPRETER Plugin — Here is EVERYTHING you need to know: Leverage the tool, starting TODAY",,"Chat GPT has just released it’s new Plugin Code interpreter, and this plugin is totally insane.",85,False,,85,Positive
233,ai code assistants,Medium,https://alpha2phi.medium.com/neovim-and-vs-code-ai-assisted-code-completion-4991e993e645,Neovim and VS Code— AI-Assisted Code Completion,Let’s try out AI-assisted code completion plugins for Neovim and VS Code.,Want to try out AI-assisted coding? Let’s check out a few plugins that provide AI-based code completion for Neovim and VS Code.,84,True,,84,Positive
234,chatgpt AND code,Medium,https://devjaime.medium.com/is-it-possible-to-implement-chatgpt-in-visual-studio-code-147441a3006b,Is it possible to implement ChatGPT in Visual Studio Code? What are the differences between GitHub Copilot and GitHub Copilot X?,,"Yes, it is possible to implement ChatGPT in Visual Studio Code using extensions such as OpenAI’s Codex, which integrates ChatGPT into the editor to provide code suggestions and autocompletion.",84,False,,84,Positive
235,codewhisperer,Medium,https://keemanxp.medium.com/must-try-generative-ai-tools-in-2023-56e1968018e5,Must-Try Generative AI Tools in 2023,,"The current development of machine learning and its corresponding tech has intensified thanks to the huge investments by big tech companies in powering infrastructures needed to allow AI to flourish. We are now heading towards an exciting period of Generative artificial intelligence (AI). As the name suggests, Generative AI relies on algorithms in the automation of content creation. Anyone can use various Generative AI tools to create “unique” texts, images, simulations, audios, videos and even codes!",84,False,,84,Positive
236,copilot,Medium,https://walkingriver.medium.com/chatgpt-copilot-and-programming-765e6c206399,"ChatGPT, CoPilot and Programming",The Future of Software Development,"Note: This is a chapter from my latest book, P-AI-R Programming: How Al tools like GitHub Copilot and ChatGPT Can Radically Transform Your Development Workflow. It is an opinionated look at how today’s software developers can use AI tools to enhance their skills. In this brief chapter, I discuss how AI tools are significantly impacting software development, but argue that they won’t completely replace developers. Instead, AI will augment developers’ skills, making their work more efficient, while creating new opportunities for growth in the field.",84,True,,84,Positive
237,ai code assistants,Medium,https://clouddatascience.medium.com/revolutionizing-communication-the-power-of-nlp-in-ai-8eaee349d449?source=user_profile---------15----------------------------,Revolutionizing Communication: The Power of NLP in AI,,"Artificial Intelligence (AI) and Natural Language Processing (NLP) have come a long way in recent years, and the rise of virtual assistants like Siri and Alexa is a testament to this progress. These virtual assistants have changed the way we interact with technology, making it more intuitive and human-like. But what exactly is behind this revolutionary technology and how has it evolved over time?",83,True,,83,Positive
238,chatgpt AND code,Medium,https://arisc.medium.com/how-i-used-chatgpt-to-create-a-game-1537f6ee54e3?source=author_recirc-----47b9ce8b5680----1----------------------------,How I Used ChatGPT to Create a Game,,"I recently had an idea for a web-based game I wanted to build. Unfortunately, I have zero experience with web development, HTML, JavaScript, and CSS. So I thought to ask ChatGPT for help to get started. It worked (well, sort of! While writing this I realized it works on desktop, not mobile).",83,True,,83,Positive
